Index	xSource	ySource	xTarget	yTarget
    0	   1921	   2757	   1921	   2757
    1	   2101	   1902	   2101	   1902
    2	   2085	   2136	   2085	   2136
    3	   1825	   2540	   1825	   2540
    4	   1667	   2584	   1667	   2584
    5	   1483	   2162	   1485	   2088
    6	   1387	   1820	   1401	   1796
    7	   1503	   1406	   1521	   1350
    8	   2049	   1558	   2049	   1558
    9	   1889	   1612	   1889	   1612
   10	   1859	   1486	   1859	   1486
   11	   1881	   1326	   1881	   1326
   12	   1509	   1306	   1523	   1252
   13	   1669	   1204	   1681	   1174
   14	   1689	   1160	   1711	   1132
   15	   1985	    970	   1995	    972
   16	   1347	    834	   1387	    778
   17	   1319	   1062	   1349	    992
   18	   1265	    466	   1291	    428
   19	   1437	    172	   1437	    172
   20	   2073	    194	   2069	    200
   21	   2143	     52	   2143	     52
   22	   1251	     84	   1251	     84
   23	    800	     88	    804	     88
   24	    280	     88	    280	     88
   25	     92	    242	     92	    242
   26	    524	    342	    524	    342
   27	   1020	    280	   1020	    280
   28	   1076	     40	   1076	     40
   29	   1058	    543	   1060	    509
   30	    370	    533	    370	    533
   31	    746	    501	    788	    437
   32	    560	    623	    560	    623
   33	    756	    797	    756	    797
   34	    144	   1273	    144	   1273
   35	     66	    897	     66	    897
   36	    368	    971	    368	    971
   37	    526	   1035	    526	   1035
   38	    718	   1053	    718	   1053
   39	    874	   1119	    872	   1087
   40	    972	   1249	    976	   1183
   41	    796	   1321	    796	   1313
   42	    788	   1409	    788	   1409
   43	     90	   1655	     90	   1655
   44	   1062	   1685	   1086	   1661
   45	    462	   1685	    462	   1685
   46	    316	   1687	    316	   1687
   47	    340	   2001	    340	   2001
   48	    824	   1847	    830	   1783
   49	    634	   2161	    644	   2115
   50	    762	   2271	    784	   2207
   51	    782	   2143	    800	   2069
   52	     54	   2073	     54	   2073
   53	    280	   2129	    280	   2129
   54	     72	   2233	     72	   2233
   55	   1058	   2341	   1076	   2261
   56	    290	   2559	    288	   2545
   57	    616	   2721	    620	   2681
   58	    504	   2905	    506	   2879
   59	    418	   2677	    414	   2649
   60	     70	   2507	     70	   2507
