"","Index","XY_Displacement_year","XYZ_Displacement_year","xy_idw_aspectcorr_DEM_DISP_VEC_128_64_01_IJ","xy_idw_aspectcorr_DEM_DISP_VEC_256_128_01_IJ","xy_idw_aspectcorr_DEM_DISP_VEC_256_64_01_IJ","xy_idw_aspectcorr_DEM_DISP_VEC_128_64_01_IJError","xy_idw_aspectcorr_DEM_DISP_VEC_256_128_01_IJError","xy_idw_aspectcorr_DEM_DISP_VEC_256_64_01_IJError","xy_idw_aspectcorr_DEM_DISP_VEC_128_64_01_IJ_R_squared","xy_idw_aspectcorr_DEM_DISP_VEC_256_128_01_IJ_R_squared","xy_idw_aspectcorr_DEM_DISP_VEC_256_64_01_IJ_R_squared"
"Min","0","0","0.0232","0.0473","0.0448","0.0448","-0.207","-0.2621","-0.7981","RMSE: 0.5189","RMSE: 0.1825","RMSE: 0.1976"
"Qu1.25%","7.5","0.2787","0.3723","0.2756","0.214","0.4196","-0.0222","-0.0858","-0.1442","Rsquared: 0.6073","Rsquared: 0.8571","Rsquared: 0.8688"
"Median","15","0.9124","0.9278","0.3961","0.6232","1.007","0.4712","-0.0369","-0.0518","MAE: 0.417","MAE: 0.1178","MAE: 0.1214"
"Mean","15","0.7088","0.7778","0.3435","0.6201","0.8099","0.3653","0.0177","-0.1011",NA,NA,NA
"Qu3.75%","22.5","1.111","1.1695","0.4288","0.9998","1.1147","0.6679","0.0737","-0.0041",NA,NA,NA
"Max","30","1.3583","1.5408","0.5415","1.1322","1.3062","0.9561","0.712","0.0837",NA,NA,NA
"IQR","15","0.8323","0.7972","0.1531","0.7858","0.695","0.6901","0.1595","0.14",NA,NA,NA
"SD","9.0921","0.4734","0.4784","0.1401","0.4087","0.4216","0.3746","0.1852","0.1726",NA,NA,NA
"N","31","31","31","31","31","31","31","31","31",NA,NA,NA
"Na","0","0","0","0","5","0","0","5","0",NA,NA,NA
