"","Index","XY_Displacement_year","XYZ_Displacement_year","xyz_idw_aspectcorr_DEM_DISP_VEC_128_64_01_IJ","xyz_idw_aspectcorr_DEM_DISP_VEC_256_128_01_IJ","xyz_idw_aspectcorr_DEM_DISP_VEC_256_64_01_IJ","xyz_idw_aspectcorr_DEM_DISP_VEC_128_64_01_IJError","xyz_idw_aspectcorr_DEM_DISP_VEC_256_128_01_IJError","xyz_idw_aspectcorr_DEM_DISP_VEC_256_64_01_IJError","xyz_idw_aspectcorr_DEM_DISP_VEC_128_64_01_IJ_R_squared","xyz_idw_aspectcorr_DEM_DISP_VEC_256_128_01_IJ_R_squared","xyz_idw_aspectcorr_DEM_DISP_VEC_256_64_01_IJ_R_squared"
"Min","0","0","0.0232","0.0483","0.0454","0.046","-0.129","-0.1665","-0.8782","RMSE: 0.5361","RMSE: 0.1722","RMSE: 0.2053"
"Qu1.25%","7.5","0.2787","0.3723","0.3108","0.2332","0.4638","0.0059","-0.0525","-0.1483","Rsquared: 0.667","Rsquared: 0.8748","Rsquared: 0.865"
"Median","15","0.9124","0.9278","0.4211","0.7279","1.1032","0.4808","0.0027","-0.0749","MAE: 0.4225","MAE: 0.1058","MAE: 0.1292"
"Mean","15","0.7088","0.7778","0.3794","0.666","0.8843","0.3984","0.0385","-0.1065",NA,NA,NA
"Qu3.75%","22.5","1.111","1.1695","0.4969","1.0808","1.2173","0.6935","0.0718","-0.0124",NA,NA,NA
"Max","30","1.3583","1.5408","0.5575","1.1626","1.6157","1.0268","0.709","0.0961",NA,NA,NA
"IQR","15","0.8323","0.7972","0.1861","0.8476","0.7535","0.6876","0.1243","0.1359",NA,NA,NA
"SD","9.0921","0.4734","0.4784","0.1526","0.4296","0.4756","0.3646","0.1712","0.1785",NA,NA,NA
"N","31","31","31","31","31","31","31","31","31",NA,NA,NA
"Na","0","0","0","0","5","0","0","5","0",NA,NA,NA
