"","Index","XY_Displacement_year","XYZ_Displacement_year","T1_Aspect_60_IJ_direct_xyDispAnual","T1_Aspect_60_IJ_direct_xyzDispAnual","T1_Aspect_60_IJ_direct_xyDispAnualError","T1_Aspect_60_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0","0","0.0232","0.0549","0.0549","-0.2168","-0.215","RMSE: 0.3295","RMSE: 0.3162"
"Qu1.25%","7.5","0.2787","0.3723","0.4137","0.4436","-0.0701","-0.0561","Rsquared: 0.4989","Rsquared: 0.5637"
"Median","15","0.9124","0.9278","0.5935","0.7292","-0.0119","-0.0079","MAE: 0.2192","MAE: 0.207"
"Mean","15","0.7088","0.7778","0.6631","0.7249","0.1217","0.1279",NA,NA
"Qu3.75%","22.5","1.111","1.1695","1.0107","1.0853","0.2704","0.231",NA,NA
"Max","30","1.3583","1.5408","1.1854","1.2343","0.8321","0.7722",NA,NA
"IQR","15","0.8323","0.7972","0.5971","0.6417","0.3405","0.2871",NA,NA
"SD","9.0921","0.4734","0.4784","0.3644","0.3778","0.3118","0.2945",NA,NA
"N","31","31","31","31","31","31","31",NA,NA
"Na","0","0","0","3","3","3","3",NA,NA
