"","Index","XY_Displacement_year","XYZ_Displacement_year","T1_DEM_61_IJ_direct_xyDispAnual","T1_DEM_61_IJ_direct_xyzDispAnual","T1_DEM_61_IJ_direct_xyDispAnualError","T1_DEM_61_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0","0","0.0232","0.1901","0.1959","-0.3051","-0.2985","RMSE: 0.2981","RMSE: 0.291"
"Qu1.25%","7.5","0.2787","0.3723","0.508","0.5253","-0.0907","-0.085","Rsquared: 0.5351","Rsquared: 0.5892"
"Median","15","0.9124","0.9278","0.6067","0.7243","0.0372","0.0475","MAE: 0.2209","MAE: 0.214"
"Mean","15","0.7088","0.7778","0.7058","0.7664","0.108","0.1169",NA,NA
"Qu3.75%","22.5","1.111","1.1695","1.0169","1.053","0.2575","0.2358",NA,NA
"Max","30","1.3583","1.5408","1.2666","1.5423","0.6773","0.6863",NA,NA
"IQR","15","0.8323","0.7972","0.5088","0.5277","0.3482","0.3208",NA,NA
"SD","9.0921","0.4734","0.4784","0.3368","0.3677","0.2832","0.2715",NA,NA
"N","31","31","31","31","31","31","31",NA,NA
"Na","0","0","0","4","4","4","4",NA,NA
