"","X2015_2012_1","T1_Hill_60_IJ_direct_xyDispAnual","T1_Hill_60_IJ_direct_xyzDispAnual","T1_Hill_60_IJ_direct_xyDispAnualError","T1_Hill_60_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0.1787","0.0935","0.0952","0.0852","0.0835","RMSE: 0.6487","RMSE: 0.5656"
"Qu1.25%","1.0853","0.5721","0.6013","0.3252","0.3026","Rsquared: 0.5271","Rsquared: 0.6802"
"Median","1.5032","0.7557","0.8883","0.4638","0.4446","MAE: 0.551","MAE: 0.486"
"Mean","1.3084","0.7574","0.8224","0.551","0.486",NA,NA
"Qu3.75%","1.6046","0.993","1.0724","0.7378","0.6094",NA,NA
"Max","2.0302","1.231","1.2748","1.3964","1.1777",NA,NA
"IQR","0.5194","0.421","0.4711","0.4126","0.3068",NA,NA
"SD","0.5088","0.3287","0.3434","0.3522","0.2976",NA,NA
"N","18","18","18","18","18",NA,NA
"Na","0","0","0","0","0",NA,NA
