"","Index","XY_Displacement_year","XYZ_Displacement_year","T1_Hill_60_IJ_direct_xyDispAnual","T1_Hill_60_IJ_direct_xyzDispAnual","T1_Hill_60_IJ_direct_xyDispAnualError","T1_Hill_60_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0","0","0.0232","0.0583","0.0584","-0.2227","-0.2184","RMSE: 0.3136","RMSE: 0.3056"
"Qu1.25%","7.5","0.2787","0.3723","0.4191","0.4459","-0.0836","-0.0645","Rsquared: 0.5567","Rsquared: 0.6099"
"Median","15","0.9124","0.9278","0.5757","0.6809","0.0011","0.0248","MAE: 0.2304","MAE: 0.2206"
"Mean","15","0.7088","0.7778","0.656","0.7151","0.1288","0.1377",NA,NA
"Qu3.75%","22.5","1.111","1.1695","1.0072","1.0933","0.3743","0.3322",NA,NA
"Max","30","1.3583","1.5408","1.1839","1.2149","0.7328","0.7506",NA,NA
"IQR","15","0.8323","0.7972","0.5882","0.6474","0.4579","0.3967",NA,NA
"SD","9.0921","0.4734","0.4784","0.3652","0.3848","0.2911","0.2779",NA,NA
"N","31","31","31","31","31","31","31",NA,NA
"Na","0","0","0","3","3","3","3",NA,NA
