"","X2015_2012_1","T1_PCA1_60_IJ_direct_xyDispAnual","T1_PCA1_60_IJ_direct_xyzDispAnual","T1_PCA1_60_IJ_direct_xyDispAnualError","T1_PCA1_60_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0.1787","0.1079","0.1081","0.0708","0.0568","RMSE: 0.5929","RMSE: 0.5211"
"Qu1.25%","1.0853","0.4174","0.482","0.3154","0.2955","Rsquared: 0.5654","Rsquared: 0.6322"
"Median","1.5032","1.0098","1.0449","0.4399","0.3693","MAE: 0.4951","MAE: 0.4252"
"Mean","1.3084","0.8133","0.8832","0.4951","0.4252",NA,NA
"Qu3.75%","1.6046","1.1453","1.1918","0.5289","0.4707",NA,NA
"Max","2.0302","1.2588","1.5487","1.3817","1.2765",NA,NA
"IQR","0.5194","0.7279","0.7098","0.2135","0.1752",NA,NA
"SD","0.5088","0.394","0.4338","0.3356","0.3099",NA,NA
"N","18","18","18","18","18",NA,NA
"Na","0","0","0","0","0",NA,NA
