"","Index","XY_Displacement_year","XYZ_Displacement_year","T1_Slope_60_IJ_direct_xyDispAnual","T1_Slope_60_IJ_direct_xyzDispAnual","T1_Slope_60_IJ_direct_xyDispAnualError","T1_Slope_60_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0","0","0.0232","0.0413","0.0425","-0.2316","-0.2312","RMSE: 0.3325","RMSE: 0.32"
"Qu1.25%","7.5","0.2787","0.3723","0.3528","0.427","-0.0716","-0.0668","Rsquared: 0.4942","Rsquared: 0.5594"
"Median","15","0.9124","0.9278","0.5635","0.5911","-0.0192","0.0144","MAE: 0.2104","MAE: 0.2037"
"Mean","15","0.7088","0.7778","0.6562","0.7174","0.1131","0.118",NA,NA
"Qu3.75%","22.5","1.111","1.1695","1.0415","1.1142","0.1551","0.1547",NA,NA
"Max","30","1.3583","1.5408","1.2975","1.5795","0.8328","0.7596",NA,NA
"IQR","15","0.8323","0.7972","0.6887","0.6871","0.2267","0.2215",NA,NA
"SD","9.0921","0.4734","0.4784","0.3868","0.4125","0.3187","0.3031",NA,NA
"N","31","31","31","31","31","31","31",NA,NA
"Na","0","0","0","4","4","4","4",NA,NA
