"","X2015_2012_1","T2_DEM_60_0_0_IJ_direct_xyDispAnual","T2_DEM_60_0_0_IJ_direct_xyzDispAnual","T2_DEM_60_0_0_IJ_direct_xyDispAnualError","T2_DEM_60_0_0_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0.1787","0.29","0.2918","-0.1131","-0.1813","RMSE: 1.0745","RMSE: 1.0341"
"Qu1.25%","1.0853","0.2912","0.2993","0.7937","0.7907","Rsquared: 0.3608","Rsquared: 0.3177"
"Median","1.5032","0.2932","0.3227","1.1377","1.104","MAE: 0.9827","MAE: 0.9519"
"Mean","1.3084","0.3383","0.3767","0.9702","0.9318",NA,NA
"Qu3.75%","1.6046","0.4112","0.4504","1.2515","1.2214",NA,NA
"Max","2.0302","0.4122","0.5596","1.6189","1.4706",NA,NA
"IQR","0.5194","0.12","0.1511","0.4578","0.4307",NA,NA
"SD","0.5088","0.06","0.0957","0.4752","0.4616",NA,NA
"N","18","18","18","18","18",NA,NA
"Na","0","0","0","0","0",NA,NA
