"","Index","XY_Displacement_year","XYZ_Displacement_year","T2_DEM_60_1_1_IJ_direct_xyDispAnual","T2_DEM_60_1_1_IJ_direct_xyzDispAnual","T2_DEM_60_1_1_IJ_direct_xyDispAnualError","T2_DEM_60_1_1_IJ_direct_xyzDispAnualError","xy_R_squared","xyz_R_squared"
"Min","0","0","0.0232","0.1779","0.189","-0.2203","-0.2","RMSE: 0.2457","RMSE: 0.2414"
"Qu1.25%","7.5","0.2787","0.3723","0.507","0.5241","-0.0768","-0.0747","Rsquared: 0.6803","Rsquared: 0.7063"
"Median","15","0.9124","0.9278","0.7261","0.7553","0.0329","0.0805","MAE: 0.1914","MAE: 0.1857"
"Mean","15","0.7088","0.7778","0.7258","0.7886","0.088","0.0947",NA,NA
"Qu3.75%","22.5","1.111","1.1695","0.9825","1.0547","0.2697","0.2582",NA,NA
"Max","30","1.3583","1.5408","1.3178","1.6008","0.5926","0.6278",NA,NA
"IQR","15","0.8323","0.7972","0.4755","0.5306","0.3464","0.3329",NA,NA
"SD","9.0921","0.4734","0.4784","0.3212","0.3607","0.2337","0.2262",NA,NA
"N","31","31","31","31","31","31","31",NA,NA
"Na","0","0","0","4","4","4","4",NA,NA
